,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS
1954-09-30,3.47,1.78,2.89,0,13.001070248045599,185.384131774173,0.0,0.0,0.0,0,0,0.45793584881322896,2,32.31,32.31,32.31,32.31,12.2851711,2.63,0.58,1,0,0.0,22.6693938185534,0.044657902,1.44
1954-10-01,3.46,1.78,2.87,0,12.9924168510708,185.384131774173,0.0,0.0,0.0,0,0,0.45773281209369504,1,32.29,32.29,32.29,32.29,12.27756654,2.63,0.59,1,0,0.0,22.6551372352503,0.044685563,0.5
1954-10-04,3.46,1.78,2.87,0,13.0642343127055,185.384131774173,0.0,0.0,0.0,0,0,0.46036487749203103,0,32.47,32.47,32.47,32.47,12.3460076,2.63,0.59,0,0,0.0,22.7812026572154,0.044437845,0.5
1954-10-05,3.46,1.78,2.87,0,13.1279989917188,185.384131774173,0.0,0.0,0.0,0,0,0.462713838403096,0,32.63,32.63,32.63,32.63,12.40684411,2.63,0.59,0,0,0.0,22.8932337523141,0.044219945,0.25
1954-10-06,3.46,1.78,2.87,0,13.179688915002199,185.384131774173,0.0,0.0,0.0,0,0,0.464637789460972,0,32.76,32.76,32.76,32.76,12.45627376,2.63,0.59,0,0,0.0,22.984215000035,0.044044469,0.13
1954-10-07,3.46,1.78,2.87,0,13.1509161805833,185.384131774173,0.0,0.0,0.0,0,0,0.46372545709614205,0,32.69,32.69,32.69,32.69,12.42965779,2.63,0.59,0,0,0.0,22.934877244783696,0.044138783,1.25
1954-10-08,3.46,1.78,2.87,0,13.142217965216801,185.384131774173,0.0,0.0,0.0,0,0,0.4635222434737679,0,32.67,32.67,32.67,32.67,12.375,2.64,0.59,0,0,0.0,22.920619644804002,0.044165804,1.25
1954-10-11,3.46,1.78,2.87,0,13.036980703826401,185.384131774173,0.0,0.0,0.0,0,0,0.4599138723913839,0,32.41,32.41,32.41,32.41,12.27651515,2.64,0.59,0,0,0.0,22.737984956395998,0.044520112,1.25
1954-10-12,3.46,1.78,2.87,0,12.984044535743198,185.384131774173,0.0,0.0,0.0,0,0,0.45814963316129903,0,32.28,32.28,32.28,32.28,12.22727273,2.64,0.59,0,0,0.0,22.6465576509849,0.044699406,1.25
1954-10-13,3.46,1.78,2.87,0,12.998728068112301,185.384131774173,0.0,-0.00149086870700588,0.0,0,0,0.45808824387318603,0,32.27,32.27,32.27,32.27,12.22348485,2.64,0.59,0,0,-0.0011926949656047,22.673069472382004,0.044713257,1.38
1954-10-14,3.46,1.78,2.87,0,12.840980046455801,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.45263255951862,0,31.88,31.88,31.88,31.88,12.07575758,2.64,0.59,0,0,-0.00208544068492342,22.398806402434698,0.045260250999999994,1.38
1954-10-15,3.46,1.78,2.87,0,12.771816941085401,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.450299465776933,0,31.71,31.71,31.71,31.71,11.96603774,2.65,0.59,0,0,-0.00148953707834227,22.279119310984804,0.045502895,1.0
1954-10-18,3.46,1.78,2.87,0,12.819458668241198,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.4520841126826121,0,31.83,31.83,31.83,31.83,12.01132075,2.65,0.59,0,0,-0.000893633471761124,22.3631838214933,0.045331348,0.38
1954-10-19,3.46,1.78,2.87,0,12.8509867772522,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.45330095663324793,0,31.91,31.91,31.91,31.91,12.04150943,2.65,0.59,0,0,-0.00029772986517997405,22.419143709181398,0.0452177,0.38
1954-10-20,3.46,1.78,2.87,0,12.95499882967,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.45707502631821706,1,32.17,32.17,32.17,32.17,12.13962264,2.65,0.59,0,0,0.0,22.601564534453,0.044852248,0.25
1954-10-21,3.46,1.78,2.87,0,12.9381954449721,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.456587327741598,2,32.13,32.13,32.13,32.13,12.124528300000001,2.65,0.59,0,0,0.0,22.5732139125205,0.04490808599999999,1.0
1954-10-22,3.46,1.63,2.87,0,12.937459189628902,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.456668531319289,3,32.13,32.13,32.13,32.13,12.07894737,2.66,0.59,0,0,0.0,22.572965651259302,0.044909320999999995,0.63
1954-10-25,3.46,1.63,2.87,0,12.868275333926102,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.454333513710406,4,31.96,31.96,31.96,31.96,12.01503759,2.66,0.59,0,0,0.0,22.4532847250632,0.045149442000000005,1.0
1954-10-26,3.46,1.63,2.87,0,12.8594920311534,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.454130432569905,5,31.94,31.94,31.94,31.94,12.007518800000001,2.66,0.59,1,0,0.0,22.438986470331603,0.045178956,0.75
1954-10-27,3.46,1.63,2.87,0,12.890969427748999,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.45534913839363894,4,32.02,32.02,32.02,32.02,12.03759398,2.66,0.59,1,0,0.0,22.494941010974898,0.045067319,0.63
1954-10-28,3.46,1.63,2.87,0,12.8338788023626,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.45343949137524703,3,31.88,31.88,31.88,31.88,11.98496241,2.66,0.59,1,0,0.0,22.396339598941,0.045266475,1.0
1954-10-29,3.46,1.63,2.87,0,12.7526014315239,180.899031811895,0.0,-0.00297951803290575,0.0,0,0,0.45067723183280994,2,31.68,31.68,31.68,31.68,11.86516854,2.67,0.59,1,0,0.0,22.2555883360812,0.045556005999999996,1.13
1954-11-01,3.45,1.63,2.89,0,12.7961156485459,180.899031811895,0.0,-0.00297951803290575,0.0,0,1,0.452324502163371,1,31.79,31.79,31.79,31.79,11.90636704,2.67,0.56,1,0,0.0,22.3326152852986,0.045402118,1.38
1954-11-03,3.45,1.63,2.89,0,13.0569731620583,180.899031811895,0.0,-0.00297951803290575,0.0,0,1,0.46165547372045296,0,32.44,32.44,32.44,32.44,12.14981273,2.67,0.56,0,0,0.0,22.788987847793997,0.044494843,1.13
1954-11-04,3.45,1.63,2.89,0,13.2091326730186,180.899031811895,0.0,-0.00297951803290575,0.0,0,1,0.46714572481177596,0,32.82,32.82,32.82,32.82,12.29213483,2.67,0.56,0,0,0.0,23.0556774217418,0.043982086,1.0
1954-11-05,3.45,1.63,2.89,0,13.1640327289036,180.899031811895,0.0,-0.00297951803290575,0.0,0,1,0.46566362715908,0,32.71,32.71,32.71,32.71,12.20522388,2.68,0.56,0,0,0.0,22.9781435894332,0.044134845,0.25
1954-11-08,3.45,1.63,2.89,0,13.287956124755599,180.899031811895,0.0,-0.00297951803290575,0.0,0,1,0.47016043212609904,0,33.02,33.02,33.02,33.02,12.32089552,2.68,0.56,0,0,0.0,23.1956482064398,0.043725303,0.25
1954-11-09,3.45,1.63,2.89,0,13.3394333085708,180.899031811895,0.0,-0.00297951803290575,0.0,0,1,0.472095082486403,0,33.15,33.15,33.15,33.15,12.36940299,2.68,0.56,0,0,0.0,23.2867023571025,0.04355862,0.13
1954-11-10,3.45,1.63,2.89,0,13.3506676076619,180.899031811895,0.0,-0.00297951803290575,0.0,0,1,0.47260595728758,0,33.18,33.18,33.18,33.18,12.38059701,2.68,0.56,0,0,0.0,23.307506896131102,0.04352402,0.13
1954-11-11,3.45,1.63,2.89,0,13.466511053543401,180.899031811895,0.0,-0.00297951803290575,0.0,0,1,0.47682028337074706,0,33.47,33.47,33.47,33.47,12.48880597,2.68,0.56,0,0,0.0,23.510945655535803,0.04315164900000001,0.5
1954-11-12,3.45,1.63,2.89,0,13.5391978607126,180.899031811895,0.0,-0.00634212161232872,0.0,0,1,0.47790231632558205,0,33.54,33.54,33.54,33.54,12.46840149,2.69,0.56,0,0,-0.00269008286353838,23.6391310263947,0.043068688,0.5
1954-11-15,3.45,1.63,2.89,0,13.510012538740899,180.899031811895,0.0,-0.0085709486865615,0.0,0,1,0.476989719094636,0,33.47,33.47,33.47,33.47,12.44237918,2.69,0.56,0,0,-0.0038006238070400003,23.5894504019641,0.043164691,0.13
1954-11-16,3.45,1.63,2.89,0,13.5494469804152,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.478499673672631,0,33.57,33.57,33.57,33.57,12.4795539,2.69,0.56,0,0,-0.00268233767630885,23.659582064303898,0.04304202,0.13
1954-11-17,3.45,1.63,2.89,0,13.572733153296198,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.47943974600381895,0,33.63,33.63,33.63,33.63,12.50185874,2.69,0.56,0,0,-0.0015640515455777,23.7015183666773,0.042971128,0.5
1954-11-18,3.45,1.63,2.89,0,13.4951262811254,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.4768159052207249,1,33.44,33.44,33.44,33.44,12.43122677,2.69,0.56,0,0,-0.000445765414846555,23.5672604097556,0.04322121599999999,1.0
1954-11-19,3.45,1.63,2.89,0,13.4981505795828,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.47704393366437897,2,33.45,33.45,33.45,33.45,12.34317343,2.71,0.56,0,0,0.0,23.573953983769304,0.043215413,0.88
1954-11-22,3.45,1.63,2.89,0,13.549595468001499,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.478983370066574,3,33.58,33.58,33.58,33.58,12.39114391,2.71,0.56,0,0,0.0,23.66521343287,0.043055200999999994,1.0
1954-11-23,3.45,1.63,2.89,0,13.7301444372511,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.4854876187645689,4,34.03,34.03,34.03,34.03,12.55719557,2.71,0.56,0,0,0.0,23.981980996848,0.042492852000000005,1.44
1954-11-24,3.45,1.63,2.89,0,13.8057724128835,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.48828373059841,5,34.22,34.22,34.22,34.22,12.62730627,2.71,0.56,1,0,0.0,24.115508799803,0.042263876,1.44
1954-11-26,3.45,1.51,2.89,0,13.937822546454802,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.493078554075046,4,34.55,34.55,34.55,34.55,12.70220588,2.72,0.56,1,0,0.0,24.3476882239525,0.041868237999999995,1.44
1954-11-29,3.45,1.51,2.89,0,13.9327041929625,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.49302191988058996,3,34.54,34.54,34.54,34.54,12.69852941,2.72,0.56,1,0,0.0,24.3402596647182,0.041888402000000005,1.44
1954-11-30,3.45,1.51,2.89,0,13.8106167419636,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.48882583509663,2,34.24,34.24,34.24,34.24,12.58823529,2.72,0.56,1,0,0.0,24.128468723105396,0.042263527,1.38
1954-12-01,3.45,1.51,2.9,0,13.7087149305101,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.48534283345557205,1,33.99,33.99,33.99,33.99,12.49632353,2.72,0.55,1,0,0.0,23.951914805140902,0.042582552,1.25
1954-12-02,3.45,1.51,2.9,0,13.784275114761698,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.488141968160616,0,34.18,34.18,34.18,34.18,12.56617647,2.72,0.55,0,0,0.0,24.085415259634498,0.042353971,1.38
1954-12-03,3.45,1.51,2.9,0,13.908169989518301,186.879165094933,0.0,-0.0085709486865615,0.0,0,1,0.492655946371067,0,34.49,34.49,34.49,34.49,12.63369963,2.73,0.55,0,0,0.0,24.303465695860602,0.041982492999999996,1.44
